population,fit,lwr,upr
131e3,1.6832173668496602,-0.3828980885302966,3.7493328222296167
132e3,1.6909053576521302,-0.37521032907972507,3.7570210443839853
133e3,1.6985933484546,-0.36752258081117084,3.764709277720371
134e3,1.7062813392570702,-0.3598348437246295,3.77239752223877
135e3,1.71396933005954,-0.35214711782009744,3.7800857779391777
136e3,1.72165732086201,-0.34445940309756895,3.787774044821589
137e3,1.72934531166448,-0.33677169955704134,3.795462322886001
138e3,1.73703330246695,-0.32908400719850883,3.803150612132409
139e3,1.74472129326942,-0.32139632602196677,3.810838912560807
14e4,1.75240928407189,-0.3137086560274105,3.8185272241711905
141e3,1.76009727487436,-0.3060209972148351,3.826215546963555
142e3,1.7677852656768298,-0.29833334958423396,3.8339038809378936
143e3,1.7754732564792999,-0.29064571313560217,3.841592226094202
144e3,1.7831612472817697,-0.2829580878689344,3.849280582432474
145e3,1.7908492380842398,-0.275270473784224,3.8569689499527033
146e3,1.7985372288867096,-0.26758287088146515,3.8646573286548844
147e3,1.8062252196891797,-0.2598952791606517,3.872345718539011
148e3,1.8139132104916496,-0.25220769862177694,3.8800341196050763
149e3,1.8216012012941196,-0.24452012926483468,3.8877225318530737
15e4,1.8292891920965895,-0.23683257108981737,3.8954109552829963
151e3,1.8369771828990595,-0.22914502409671833,3.9030993898948374
152e3,1.8446651737015294,-0.22145748828553047,3.9107878356885895
153e3,1.8523531645039994,-0.21376996365624623,3.918476292664245
154e3,1.8600411553064693,-0.20608245020885807,3.9261647608217967
155e3,1.8677291461089394,-0.19839494794335844,3.933853240161237
156e3,1.8754171369114092,-0.19070745685973933,3.941541730682558
157e3,1.8831051277138793,-0.18301997695799188,3.9492302323857507
158e3,1.8907931185163491,-0.17533250823810942,3.9569187452708077
159e3,1.8984811093188192,-0.16764505070008173,3.96460726933772
16e4,1.906169100121289,-0.15995760434390127,3.972295804586479
161e3,1.913857090923759,-0.1522701691695587,3.9799843510170767
162e3,1.9215450817262292,-0.1445827451770445,3.987672908629503
163e3,1.929233072528699,-0.13689533236635132,3.9953614774237494
164e3,1.936921063331169,-0.1292079307374676,4.003050057399806
165e3,1.944609054133639,-0.12152054029038584,4.0107386485576635
166e3,1.952297044936109,-0.113833161025094,4.018427250897312
167e3,1.9599850357385789,-0.1061457929415841,4.026115864418742
168e3,1.967673026541049,-0.0984584360398455,4.033804489121943
169e3,1.9753610173435188,-0.09077109031986708,4.041493125006904
17e4,1.9830490081459888,-0.08308375578163907,4.0491817720736165
171e3,1.9907369989484587,-0.07539643242515126,4.056870430322069
172e3,1.9984249897509287,-0.06770912025039166,4.064559099752249
173e3,2.0061129805533984,-0.060021819257350284,4.0722477803641475
174e3,2.0138009713558684,-0.05233452944601513,4.079936472157752
175e3,2.0214889621583385,-0.04464725081637555,4.087625175133052
